👉青哥IPTV公告,#genre#
企鹅913824172,https://txmov2.a.kwimgs.com/upic/2021/04/03/20/BMjAyMTA0MDMyMDU0MzZfMTE1MjQ3MDA5XzQ3MTYzMjMyNzQ3XzJfMw==_b_B51f045ff769a1d0d0c35c1e3bed6e970.mp4
不定时更新维护,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239799872402.mp4
个人学习所用,https://vd2.bdstatic.com/mda-ncg1mhvhiy7fkgzs/sc/cae_h264_delogo/1647481028509277070/mda-ncg1mhvhiy7fkgzs.mp4
严谨商用,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239799088974.mp4
后果自负,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239903321355.mp4


V4央视专线,#genre#

CCTV-1-高清,http://113.15.186.115:8181/tsfile/live/1107_1.m3u8
CCTV-2,http://113.15.186.115:8181/tsfile/live/1098_1.m3u8
CCTV-3高清,http://113.15.186.115:8181/tsfile/live/1016_1.m3u8
CCTV-4,http://113.15.186.115:8181/tsfile/live/1099_1.m3u8
CCTV-5,http://113.15.186.115:8181/tsfile/live/faacts/1130_1.m3u8
CCTV-5+,http://113.15.186.115:8181/tsfile/live/faacts/1100_1.m3u8
CCTV-6,http://113.15.186.115:8181/tsfile/live/0003_1.m3u8
CCTV-7国防,http://113.15.186.115:8181/tsfile/live/faacts/1124_1.m3u8
CCTV-8,http://113.15.186.115:8181/tsfile/live/1074_1.m3u8
CCTV-9,http://113.15.186.115:8181/tsfile/live/1022_1.m3u8
CCTV-10,http://113.15.186.115:8181/tsfile/live/1101_1.m3u8
CCTV-11,http://113.15.186.115:8181/tsfile/live/1089_1.m3u8
CCTV-12高清,http://113.15.186.115:8181/tsfile/live/faacts/1132_1.m3u8
CCTV-13,http://113.15.186.115:8181/tsfile/live/0013_1.m3u8
CCTV-14高清,http://113.15.186.115:8181/tsfile/live/faacts/1126_1.m3u8
CCTV-音乐,http://113.15.186.115:8181/tsfile/live/1050_1.m3u8
CCTV-16奥运,http://113.15.186.115:8181/tsfile/live/faacts/1111_1.m3u8
CCTV-17农业,http://113.15.186.115:8181/tsfile/live/1115_1.m3u8


V4卫视专线,#genre#
南方卫视高清,http://113.15.186.115:8181/tsfile/live/1003_1.m3u8
广东综艺4K,http://113.15.186.115:8181/tsfile/live/faacts/1010_1.m3u8
广东影视高,http://113.15.186.115:8181/tsfile/live/1007_1.m3u8
岭南戏曲高清,http://113.15.186.115:8181/tsfile/live/1002_1.m3u8
广东嘉佳卡通,http://113.15.186.115:8181/tsfile/live/1004_1.m3u8
广东新闻高清,http://113.15.186.115:8181/tsfile/live/1005_1.m3u8
广东公共高清,http://113.15.186.115:8181/tsfile/live/1006_1.m3u8
广东少儿高清,http://113.15.186.115:8181/tsfile/live/1008_1.m3u8
广东体育,http://113.15.186.115:8181/tsfile/live/1009_1.m3u8
