👉青哥IPTV公告,#genre#
深圳都市-高清,http://113.15.186.115:8181/tsfile/live/1012_1.m3u8
深圳电视剧-高清,http://113.15.186.115:8181/tsfile/live/1013_1.m3u8

CMCCB7,http://113.15.186.115:8181/tsfile/live/1018_1.m3u8
中国天气B9,http://113.15.186.115:8181/tsfile/live/1030_1.m3u8
星河B11,http://113.15.186.115:8181/tsfile/live/1039_1.m3u8
广西综艺B12,http://113.15.186.115:8181/tsfile/live/1040_1.m3u8
B10,http://113.15.186.115:8181/tsfile/live/1032_1.m3u8
CHC家庭影院K1,http://113.15.186.115:8181/tsfile/live/1110_1.m3u8
经典重温K2,http://113.15.186.115:8181/tsfile/live/1085_1.m3u8
广西高清K2,http://113.15.186.115:8181/tsfile/live/faacts/1128_1.m3u8
CHC动作电影K1,http://113.15.186.115:8181/tsfile/live/1121_1.m3u8
第一剧场 高清,http://113.15.186.115:8181/tsfile/live/1071_1.m3u8
佳佳卡通W,http://113.15.186.115:8181/tsfile/live/1072_1.m3u8
吉林卫视W,http://113.15.186.115:8181/tsfile/live/1094_1.m3u8
优漫卡通W,http://113.15.186.115:8181/tsfile/live/1096_1.m3u8
福建卫视w,http://113.15.186.115:8181/tsfile/live/1043_1.m3u8
湖南高清K2,http://113.15.186.115:8181/tsfile/live/faacts/1127_1.m3u8
边延卫视W,http://113.15.186.115:8181/tsfile/live/1046_1.m3u8
安徽高清K2,http://113.15.186.115:8181/tsfile/live/faacts/1125_1.m3u8
东方卫视-高清K1,http://113.15.186.115:8181/tsfile/live/faacts/1102_1.m3u8
黑龙江卫视-高清K1,http://113.15.186.115:8181/tsfile/live/faacts/1103_1.m3u8
北京卫视-高清K,http://113.15.186.115:8181/tsfile/live/faacts/1104_1.m3u8
江苏卫视-高清K1,http://113.15.186.115:8181/tsfile/live/faacts/1105_1.m3u8
广东卫视-高清K1,http://113.15.186.115:8181/tsfile/live/faacts/1106_1.m3u8
深圳高清K2,http://113.15.186.115:8181/tsfile/live/faacts/1131_1.m3u8
.

海南卫视W,http://113.15.186.115:8181/tsfile/live/1044_1.m3u8
天元围棋-付费,http://113.15.186.115:8181/tsfile/live/1116_1.m3u8
收藏天下-付费,http://113.15.186.115:8181/tsfile/live/1117_1.m3u8
优优宝贝-付费,http://113.15.186.115:8181/tsfile/live/1118_1.m3u8
武术世界,http://113.15.186.115:8181/tsfile/live/1119_1.m3u8
生态环境-付费,http://113.15.186.115:8181/tsfile/live/1120_1.m3u8
中国教育4套x,http://113.15.186.115:8181/tsfile/live/1025_1.m3u8
甘肃卫视高清,http://113.15.186.115:8181/tsfile/live/0141_1.m3u8
安徽卫视高清,http://113.15.186.115:8181/tsfile/live/0130_1.m3u8
浙江卫视高清,http://113.15.186.115:8181/tsfile/live/0124_1.m3u8
精彩影视x,http://113.15.186.115:8181/tsfile/live/1026_1.m3u8
经典电影,http://113.15.186.115:8181/tsfile/live/1035_1.m3u8
金鹰纪实高清,http://113.15.186.115:8181/tsfile/live/1024_1.m3u8
浙江高清K,http://113.15.186.115:8181/tsfile/live/faacts/1129_1.m3u8
广东珠江备用,http://113.15.186.115:8181/tsfile/live/1068_1.m3u8
风云剧场 高清,http://113.15.186.115:8181/tsfile/live/1027_1.m3u8
粤语节目5,http://113.15.186.115:8181/tsfile/live/1041_1.m3u8
粤语节目7,http://113.15.186.115:8181/tsfile/live/1134_1.m3u8
粤语节目10,http://113.15.186.115:8181/tsfile/live/1135_1.m3u8
粤语节目9,http://113.15.186.115:8181/tsfile/live/1136_1.m3u8
粤语节目11,http://113.15.186.115:8181/tsfile/live/1137_1.m3u8
粤语节目8,http://113.15.186.115:8181/tsfile/live/1138_1.m3u8
粤语节目3,http://113.15.186.115:8181/tsfile/live/1139_1.m3u8
粤语节目,http://113.15.186.115:8181/tsfile/live/1140_1.m3u8
广东体育备用粤语节目6,http://113.15.186.115:8181/tsfile/live/1141_1.m3u8
粤语节目2,http://113.15.186.115:8181/tsfile/live/1143_1.m3u8
粤语节目1,http://113.15.186.115:8181/tsfile/live/1142_1.m3u8



港澳频道,#genre#
CCTV1(港澳版),https://cdn5.163189.xyz/live/cctv1/stream.m3u8
HOY TV,https://cdn.163189.xyz/live/hoy/stream.m3u8
澳视卫星,https://cdn.163189.xyz/live/as/stream.m3u8
澳视澳门,http://cdn.163189.xyz/live/asam/stream.m3u8
广东珠江,https://cdn2.163189.xyz/live/gdzj/stream.m3u8
广东体育,https://cdn2.163189.xyz/live/gdty/stream.m3u8
重温经典,https://cdn3.163189.xyz/live/cwjd/stream.m3u8
TVB J1,https://cdn3.163189.xyz/live/j1/stream.m3u8
TVB华丽台,http://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
TVB新闻台,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
TVB星河,http://cdn9.163189.xyz/smt1.1.php?id=Xinhe
千禧经典,http://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
RTHK31,https://cdn5.163189.xyz/live/rthk31/stream.m3u8
RTHK32,https://cdn5.163189.xyz/live/rthk32/stream.m3u8
凤凰中文,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
电影频道,#genre#
CHC动作电影,http://qjrhc.jydjd.top:2911/udp/224.1.100.131:11111
CHC动作电影,http://qjrhc.jydjd.top:2911/udp/224.1.100.132:11111
CHC动作电影,https://www.freetv.top/migu/644368714.m3u8?migutoken=2e48d18419793654f347e8ca29e0028ce9f3eaaa7a108b006304178b8f790f34908f8a09bbb8f4b8b8abcf36e2341f1043dde8719cf4927fcd0dcde4667f8b91e68e820314791d9b70452862c9
CHC动作电影,http://180.213.174.225:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
CHC家庭影院,http://nas.hssvm.com:8888/udp/225.1.1.213:5002
CHC家庭影院,http://qjrhc.jydjd.top:2911/udp/224.1.100.149:11111
CHC家庭影院,http://180.213.174.225:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,https://www.freetv.top/migu/644368373.m3u8?migutoken=b9d9d0ba0208e949cf0736455b86290b2d1d2ff4727f523b7117dde6eb883cb4582c5ce1519685e57d54bfb562057c10a00dde58bb674d8600fd2d918b8cb440294e083e7b8f19e0dbcc9250d8
CHC影迷电影,http://110.53.52.63:8888/newlive/live/hls/52/live.m3u8
CHC影迷电影,http://58.19.38.162:9901/tsfile/live/0119_1.m3u8
CHC影迷电影,http://hzzzz530.com:4022/udp/239.69.1.241:11088
东方影视,https://www.freetv.top/migu/617290047.m3u8?migutoken=86c02ad0875d5cc49d77bcc8bdb628f2c9d508ffc323b964a03c8f92dde4afafa0345cf5a8fefbdf915c748e3d11c6c18e27ae1e21a609cec31a45e6c437db26a7a243625f9cf35c271171a22c
周星驰,https://live.metshop.top/huya/11342412
刘德华,https://live.metshop.top/huya/11342424
成龙,https://p6-dy.byteimg.com/origin/pgc-image/bebfddceee5c40f495882785675174cf
金鹰卡通,http://nas.hssvm.com:8888/udp/225.1.2.236:5002
星空卫视,http://218.202.220.2:5000/nn_live.ts?id=STARTV
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
东森幼幼,http://122.117.71.103:8515/http/61.222.53.250:8081/hls/63/805/ch09.m3u8
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
龙华电影,http://122.117.71.103:8555/http/61.222.53.250:8068/hls/10/80/cstv10.m3u8
龙华卡通,http://122.117.71.103:8516/http/61.222.53.250:8068/hls/14/80/cstv14.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
AMC电影,http://122.117.71.103:8559/http/61.222.53.250:8092/upload/115/AMC_TS-1111_1.m3u8
AMC电影,http://104.244.79.187:5050/litv/4gtv-4gtv017
3ABNKids,https://3abn.bozztv.com/3abn2/Kids_live/smil:Kids_live.smil/playlist.m3u8
AXN,http://122.117.71.103:8557/http/61.222.53.250:8081/hls/71/813/ch43.m3u8
CCTV电影轮播,http://zby.xjqxz.top/lljdy/live.m3u8
CHC电影,http://220.249.114.102:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://180.213.174.225:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CINEMAX,http://122.117.71.103:8558/http/61.222.53.250:8081/hls/71/813/ch42.m3u8
FanpopTV,https://streaming-cl.sh1ny.space/memfs/e16d2f72-70b5-4bf5-b9c5-107b6390a10f.m3u8
JapanimTV,https://foxkidstv.be:3369/stream/play.m3u8
XilamTV,https://xilam-animation-1-fr.samsung.wurl.tv/playlist.m3u8
万州影视Not247,http://123.146.162.24:8013/tslslive/vWlnEzU/hls/live_sd.m3u8
上虞文化影视,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
东阳影视生活,http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
九品芝麻官,https://txmov2.a.kwimgs.com/upic/2021/12/28/11/BMjAyMTEyMjgxMTIyMTJfNDAzMDAxOTlfNjM2NjgxODA5MTBfMF8z_bF_Bcc38a845b4b4994898062a76d3958bdc.mp4
九品芝麻官,https://alimov2.a.kwimgs.com/upic/2021/12/28/11/BMjAyMTEyMjgxMTIyMTJfNDAzMDAxOTlfNjM2NjgxODA5MTBfMF8z_b_B6a0bcfcdbdaac183fa7dcbcd3e11bcaf.mp4
人在囧途,http://jsmov2.a.yximgs.com/bs3/video-hls/5239093847755471351_hlsb.m3u8
人在囧途,https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8
人在囧途之囧妈,https://vip.ffzy-online.com/20230122/54089_b5925cb9/index.m3u8
人在囧途之港囧,https://vip.ffzy-play7.com/20230112/11082_fde1a94d/index.m3u8
佛山影视,http://125.89.163.44:8888/udp/239.253.43.56:5146
佛山影视,http://14.112.86.85:4022/udp/239.253.43.56:5146
使徒行者,http://1.94.31.214:35455/huya/23734256
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
刑事侦缉档案,http://1.94.31.214:35455/huya/29465856
创世纪,http://1.94.31.214:35455/huya/29465852
功夫电影,http://1.94.31.214:35455/huya/11352941
南宁影视娱乐,https://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
卧虎藏龙,https://vip.ffzy-play6.com/20221019/118_1367b8f6/index.m3u8
变形金刚,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_yqv/asset/zhengshi/3001/946/427/3001946427/media/3001946427_5081378899_56.mp4
变形金刚合集,http://1.94.31.214:35455/yy/1382736803
名侦探柯南,http://dns.yiandrive.com:15907/bilibili/1712960281
哆啦A梦大雄与天空的理想乡,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_cidcobs_wxlz03/asset/zhengshi/5105/223/257/5105223257/media/5105223257_5206936022_56.mp4
哆啦A梦大雄与天空的理想乡普通话,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_cidcobs_wxlz03/asset/zhengshi/5105/223/351/5105223351/media/5105223351_5206941130_56.mp4
哈利波特全集,http://home.wwang.pw:35455/yy/1382745105
哈利波特凤凰会的密令,https://v1.fentvoss.com/sdv1/202308/19/kL6HzXQ7Xi2/video/index.m3u8
哈利波特死神的圣物,https://ikcdn01.ikzybf.com/20221105/DABRajDL/index.m3u8
哈利波特火杯的考验,https://ikcdn01.ikzybf.com/20221210/qYaADoTA/index.m3u8
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8
哥斯拉大战金刚2帝国崛起,https://api.heimuer.app/play/6f3edeb2885149e4b30f676e8a94ef3b.m3u8
哪咤之决战龙神,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_yqv/asset/zhengshi/5105/004/353/5105004353/media/5105004353_5033311414_56.mp4
四川影视文艺,http://wouu.net:9977/udp/239.93.0.166:5140
天津影视,http://180.213.174.225:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
妙手仁心,http://1.94.31.214:35455/huya/29465853
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be.flv
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8?zanhd
家庭影院,http://114.252.238.87:8000/udp/239.3.1.93:4120
寒战,https://vip.ffzy-play6.com/20221019/157_bf0740ee/index.m3u8
寻秦记,http://1.94.31.214:35455/huya/29465848
封神榜,http://1.94.31.214:35455/huya/29465849
山东影视,http://124.128.73.58:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
峨眉电影,http://wouu.net:9977/udp/239.93.1.54:5140
广东影视,http://121.33.239.242:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广州影视,http://qjrhc.jydjd.top:2911/udp/224.1.100.88:11111
广州影视,http://qjrhc.jydjd.top:2911/udp/224.1.100.87:11111
广州影视,http://125.89.163.44:8888/udp/239.253.43.73:5146
广州影视,http://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=1bd3a1082ab5b89f48c1bff9a3760da4&txTime=18d57929bd4
广州影视,http://14.112.86.85:4022/udp/239.253.43.73:5146
异形寄生起源,https://api.heimuer.app/play/3e9be3a5080c46449dbc355c9cb8baec.m3u8
影视娱乐,http://ali-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
影视娱乐,https://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
我不是药神,https://vip.ffzy-play1.com/20221018/478_c3afed66/index.m3u8
拆弹专家1,https://vip.ffzy-online.com/20221015/719_80ff87c2/index.m3u8
拆弹专家2,https://vip.ffzy-online.com/20221015/722_e32c42bc/index.m3u8
新昌休闲影视Not247,https://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
新疆石河子影视文体,http://124.88.144.73:1935/live/jjsh/playlist.m3u8
无间道1,https://vip.ffzy-play6.com/20221017/13_ddfc1740/index.m3u8
无间道2,https://alimov2.a.kwimgs.com/upic/2021/02/09/10/BMjAyMTAyMDkxMDQ0NThfNDAzMDAxOTlfNDM4NTkyODc0MjhfMF8z_b_Bce206fcc2f84121a4d887259d7c5100b.mp4
无间道3终极无间,https://vip.ffzy-play2.com/20221127/1567_f1965b4b/index.m3u8
星际穿越,https://api.heimuer.app/play/f9b471ddd1ee425bb3c64a24f82561be.m3u8
末日电影合集,http://1.94.31.214:35455/yy/1354889019
楚汉骄雄,http://1.94.31.214:35455/huya/29465854
沈腾电影,http://1.94.31.214:35455/huya/11601968
泰州三套影视娱乐,http://stream1.mytaizhou.net/ysyl/playlist.m3u8?_upt=16dfe82d1725409426
洗冤录,http://1.94.31.214:35455/huya/29465851
济南影视,http://221.0.78.198:1681/hls/10282/index.m3u8
济南影视,http://124.128.73.58:9901/tsfile/live/1005_1.m3u8
济南影视,http://124.128.73.58:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
浙江影视,https://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8?
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江教科影视,http://ali-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
淘电影,http://114.252.238.87:8000/udp/239.3.1.250:8001
湖北影视,http://58.19.43.46:9901/tsfile/live/1016_1.m3u8
湖北影视,http://113.57.20.158:9901/tsfile/live/1016_1.m3u8
湖北影视,http://220.249.114.102:9901/tsfile/live/1010_1.m3u8
湖北影视,http://113.57.20.158:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
湖北影视,http://220.249.114.102:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://116.128.242.83:9901/tsfile/live/1009_1.m3u8
满城尽带黄金甲,https://vip.ffzy-play2.com/20221022/289_cc1b109c/index.m3u8
潇湘电影,http://116.128.242.83:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
狄仁杰电影,http://1.94.31.214:35455/huya/30080229
王晶电影,http://1.94.31.214:35455/huya/11602058
甄子丹电影,http://1.94.31.214:35455/huya/11352935
电影大卫贝肯倒霉特工熊,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/87f87ba569c147e3805f80e4844d2de9/1200.m3u8
电影昆仑境,https://cdn15.yzzy-tv-cdn.com/20230610/15317_9ea0d662/index.m3u8
电影昆塔反转星球,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3ccdecc7d6e341c1920ad4eac5d82f38/1200.m3u8
电影曼谷风云,https://cdn16.yzzy-tv-cdn.com/20230620/10364_a7afa251/index.m3u8
电影棉花糖和云朵妈妈,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d8ad434c6b08421a927557a4d98da65c/1200.m3u8
电影流浪地球2,https://cdn10.yzzy-tv-cdn.com/20230124/23895_527527bc/index.m3u8
电影熊出没变形记,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1733da751de64e6e910abda889d87a26/1200.m3u8
电影猪猪侠英雄猪少年,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/0f03b08bc7b042358144617000fd2931/1200.m3u8
电影辣警狂花第1部,https://cdn13.yzzy-tv-cdn.com/20230322/18321_a967b574/index.m3u8
电影辣警狂花第2部,https://cdn15.yzzy-tv-cdn.com/20230326/4049_1b286d2c/index.m3u8
电影辣警狂花第3部,https://cdn15.yzzy-tv-cdn.com/20230329/4852_2724c586/index.m3u8
直播熊猫,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
神乐华语影院,http://tc-tct.douyucdn2.cn/dyliveflv1a/85894rmovieChow_4000.xs?wsAuth=ba1c90644d5727f7eff2d821807aceb6&token=web-h5-90270207-85894-853ec75fcb0c6ecaca17aa65580152fde64a0f1c44c269f0&logo=0&expire=0&did=d1bae13724faf6e93becdd6000021601&origin=hw
神乐欧美影院,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
笑看风云,http://1.94.31.214:35455/huya/29465858
纬来电影,http://122.117.71.103:8554/http/61.222.53.250:8081/hls/69/811/ch35.m3u8
绍兴文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
经典电影,http://183.66.15.146:60901/tsfile/live/0111_2.m3u8
经典电影,http://114.252.238.87:8000/udp/239.3.1.195:9024
经典电影,http://wouu.net:9977/udp/239.93.0.57:9024
美亚电影,http://go1.bkpcp.top/tl/null-5
蜡笔小新,http://dns.yiandrive.com:15907/bilibili/30837590
西游记2,http://1.94.31.214:35455/huya/29465859
让子弹飞,https://vip.ffzy-play7.com/20230116/11563_b9f44814/index.m3u8
贝爷求生影视2,https://www.goodiptv.club/douyu/9661369
辽宁影视剧,http://dassby.qqff.top:99/live/辽宁影视剧/index.m3u8
辽宁影视剧,http://120.76.248.139/live/bfgd/4200000070.m3u8
野蛮亲家,http://1.94.31.214:35455/huya/23863796
金庸武侠,http://1.94.31.214:35455/huya/11342435
鉴证实录,http://1.94.31.214:35455/huya/23903183
铃芽之旅日语原声,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_cidcobs_wxlz03/asset/zhengshi/5105/137/798/5105137798/media/5105137798_5195915769_56.mp4
铃芽之旅普通话,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_cidcobs_wxlz03/asset/zhengshi/5105/205/437/5105205437/media/5105205437_5195916136_56.mp4
阴阳师,https://svip.high22-playback.com/20240731/5755_91995ca9/index.m3u8
阿凡达水之道,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_yqv/asset/zhengshi/5101/004/544/5101004544/media/5101004544_5091261956_56.mp4
阿凡达水之道普通话,https://hlsdofviewmgspvod.aikan.miguvideo.com/depository_yqv/asset/zhengshi/5105/080/728/5105080728/media/5105080728_5091264010_56.mp4
陕西西部电影,http://gxlive.snrtv.com/sx8-SD.m3u8
青春动漫BestTV,http://wouu.net:9977/udp/239.93.0.146:5140
魔戒三部曲王者再临,https://api.heimuer.app/play/bd885bde48d742068df66e382a8db7a7.m3u8
魔戒二部曲双城奇谋,https://api.heimuer.app/play/4c017a32d1a7478696e4b78d95774ccc.m3u8
魔戒二部曲双城奇谋,https://vip.ffzy-play7.com/20221127/7286_672b6ffa/2000k/hls/mixed.m3u8
魔戒首部曲魔戒现身,https://vip.ffzy-play7.com/20230411/22167_a385d245/2000k/hls/mixed.m3u8
魔戒首部曲魔戒现身,https://api.heimuer.app/play/d10849d4be514bfeb5de7b6ff8bdfb5a.m3u8
鹿鼎记,http://1.94.31.214:35455/yy/28265277
黄渤电影,http://1.94.31.214:35455/huya/11352876
黑龙江影视,https://idclive.hljtv.com:4430/live/hljys_hd.m3u8
龙门飞甲,http://jsmov2.a.yximgs.com/bs3/video-hls/5203346449046555193_hlsb.m3u8
龙门飞甲,https://cdn2.yzzy-tv-cdn.com/20220331/4883_7f84c204/index.m3u8
UpdateTime: 2025-02-24 12:28:54
虎牙轮播专区,#genre#
周星星,https://live.metshop.top/huya/11342412
 林正英,https://live.metshop.top/huya/11342421
沈腾,https://live.metshop.top/huya/11601968
成龙,https://live.metshop.top/huya/11342386
李连杰,https://live.metshop.top/huya/11342390
刘德华,https://live.metshop.top/huya/11342424
王晶,https://live.metshop.top/huya/11602058
中华小当家,https://live.metshop.top/huya/11342413
杰森·斯坦森,https://live.metshop.top/huya/21059588
喜剧专场,https://live.metshop.top/huya/11602044
甄子丹,https://live.metshop.top/huya/11352935
巨石强森,https://live.metshop.top/huya/21059581
洪金宝,https://live.metshop.top/huya/1279251
詹姆斯邦德,https://live.metshop.top/huya/21059585
周润发,https://live.metshop.top/huya/11342387
徐峥,https://live.metshop.top/huya/11602043
许氏三杰,https://live.metshop.top/huya/11602033
黄渤,https://live.metshop.top/huya/11352876
张卫健,https://live.metshop.top/huya/11342423
经典港片老电影,https://live.metshop.top/huya/30569705
蓝光4k,http://8.138.90.107/虎公众号睡眼迷离的猫.php?id=11352909
经典电影怀旧,https://live.metshop.top/huya/30545789
豆瓣9.8分电影,https://live.metshop.top/huya/30488738
电影,https://live.metshop.top/huya/126859
德爷荒野求生,https://live.metshop.top/huya/16289380
荒野求生,https://live.metshop.top/huya/593667
和平精英,https://live.metshop.top/huya/962270
天天吃鸡,https://live.metshop.top/huya/52988
穿越火线,https://live.metshop.top/huya/512000
王者荣耀,https://live.metshop.top/huya/861098
麻将,https://live.metshop.top/huya/520611
武林外传动画版,https://live.metshop.top/huya/28029108
斗罗大陆,https://live.metshop.top/huya/11352906
百鸟朝凤,https://live.metshop.top/huya/15894162
陈翔六点半,https://live.metshop.top/huya/11274154
电锯惊魂,https://live.metshop.top/huya/11352903
虎牙电影,https://live.metshop.top/huya/618917
港台电影,https://live.metshop.top/huya/880261
高分电影,https://live.metshop.top/huya/16615910
搞笑僵尸片,https://live.metshop.top/huya/11352963
国产青春,https://live.metshop.top/huya/11602075
好莱坞,https://live.metshop.top/huya/21059587
黑帮斗争,https://live.metshop.top/huya/11342419
红海行动,https://live.metshop.top/huya/11601986
极限挑战,https://live.metshop.top/huya/11352914
 金庸武侠,https://live.metshop.top/huya/11342435
 金庸电影,https://live.metshop.top/huya/11352897
经典高智商,https://live.metshop.top/huya/11352962
经典好片,https://live.metshop.top/huya/11342427
经典喜剧,https://live.metshop.top/huya/11352894
精彩不断,https://live.metshop.top/huya/24396428
精忠岳飞,https://live.metshop.top/huya/11336578
警匪,https://live.metshop.top/huya/11352886
救援电影,https://live.metshop.top/huya/21059586
科幻电影,https://live.metshop.top/huya/11602034
路飞,https://live.metshop.top/huya/16913382
麻雀,https://live.metshop.top/huya/11352881
命案十三宗,https://live.metshop.top/huya/11601981
魔法世界,https://live.metshop.top/huya/21059580
欧美电影,https://live.metshop.top/huya/11352880
欧美电影1,https://live.metshop.top/huya/21059581
欧美娱乐,httphttps://live.metshop.top/huya/21059574
倩女幽魂,https://live.metshop.top/huya/11601970
港台电影,https://live.metshop.top/huya/880261
黑帮斗争,https://live.metshop.top/huya/11342419
老外电影,https://live.metshop.top/huya/11601986
极限挑战,httphttps://live.metshop.top/huya/11352914
金庸电影1,https://live.metshop.top/huya/11352897
